,text,polarity,subjectivity,date,sentiment
0,A Quality ETF For #TaxReform Benefits https://t.co/M8a96JmP95 $SPHQ $COST $WMT,0.0,0.0,2018-02-03 19:31:00,neutral
1,$EBAY wants to stay relevant &amp; it is hard competing w/ $AMZN &amp; $WMT. Perhaps it dropped its lifelong relationship w… https://t.co/ni5RBtPVK8,0.0520833333333,0.535416666667,2018-02-03 19:22:49,positive
2,Wealth Enhancement Advisory Services Has Upped Wal $WMT Stake by $1.38 Million https://t.co/QMw6OFQlFl,0.0,0.0,2018-02-03 19:22:22,neutral
3,"Apple holiday quarter iPhone unit sales, revenues and average selling price

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE… https://t.co/pqq6S3Pvx0",-0.15,0.4,2018-02-03 19:10:55,negative
4,"Visualizing the Crypto rise in the past 5 years

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM… https://t.co/q9bamtF7L7",-0.25,0.25,2018-02-03 19:07:30,negative
5,"The Biggest Crypto Heists 😱

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM $GOOG $PCLN $EXPE… https://t.co/LAXA5cZQkS",0.0,0.0,2018-02-03 19:04:05,neutral
6,$RCGR A 2.5 million float with Crypto news to come and 8K on acquisition $aapl $msft $amzn $fb $goog $jnj $jpm… https://t.co/R6CTBhkl9Z,0.0,0.0,2018-02-03 18:55:50,neutral
7,RT @PlanetZiggurat: 🚀Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  🚀https://t.co/SEWT8fznze   $AMZN $EBAY $MELI $ETSY $QVCA…,0.0,0.0,2018-02-03 18:46:55,neutral
8,"RT @lolaperez0211: The world’s most valuable brands 2️⃣0️⃣1️⃣8️⃣ by country

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $X…",0.5,0.5,2018-02-03 18:42:20,positive
9,"The world’s most valuable brands 2️⃣0️⃣1️⃣8️⃣ by country

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL… https://t.co/RLBLUW5xSG",0.5,0.5,2018-02-03 18:35:08,positive
10,Headinvest LLC Has $4.35 Million Stake in Wal-Mart Stores Inc $WMT https://t.co/gws5RjfdUk,0.0,0.0,2018-02-03 18:30:51,neutral
11,"With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/yHs68DI98F? Winning… https://t.co/ozqdRmTuzU",0.075,0.525,2018-02-03 18:25:08,positive
12,RT @PlanetZiggurat: 🚀Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  🚀https://t.co/SEWT8fznze   $AMZN $EBAY $MELI $ETSY $QVCA…,0.0,0.0,2018-02-03 18:20:09,neutral
13,RT @OneOClockDrop: $RCGR $RCGR red to green and up 20% on a friday. Crypto news to come $aapl $msft $amzn $fb $goog $jnj $jpm $googl $bac $…,-0.1,0.15,2018-02-03 18:17:33,negative
14,"RT @PlanetZiggurat: Ziggurat and https://t.co/VOEUjnISk5 bounty   
$AMZN $EBAY $MELI $ETSY $QVCA $BABA $WMT $COST $TGT $KR $JPM $FB $WFC $G…",0.0,0.0,2018-02-03 17:53:18,neutral
15,"RT @PlanetZiggurat: https://t.co/VOEUjnISk5 is open 
$AMZN $EBAY $MELI $ETSY $QVCA $BABA $WMT $COST $TGT $KR $JPM $FB $WFC $GOOG $SNAP $TWT…",0.0,0.5,2018-02-03 17:53:14,neutral
16,"RT @PlanetZiggurat: Ziggurat https://t.co/EK9GbneroN 
$AMZN $EBAY $MELI $ETSY $QVCA $BABA $WMT $COST $TGT $KR $JPM $FB $WFC $GOOG $SNAP $TW…",0.0,0.0,2018-02-03 17:53:10,neutral
17,Jason Bond Stock Picks FREE ALERTS TRIAL!! https://t.co/pYnp3H8b5E  $SQBG $BFAM $LBTYK $WMT $CWEI $REGN $MXL,0.625,0.8,2018-02-03 17:37:08,positive
18,Financial Advisory Group Lowered Its Wal $WMT Stake https://t.co/wxgIkWNrdw,0.0,0.0,2018-02-03 17:22:39,neutral
19,"Skba Capital Management Has Upped By $616,200 Its Wal $WMT Holding https://t.co/nGdV624TRP",0.0,0.0,2018-02-03 17:20:30,neutral
20,Wal-Mart Stores Inc $WMT Holdings Trimmed by HS Management Partners LLC https://t.co/7GyP3gn4oI,0.0,0.0,2018-02-03 16:55:53,neutral
21,"The Dow Crashes 665 Points -- Here Are 3 Top Stocks to Buy @themotleyfool #stocks $PFE, $WMT, $AMZN, $XOM, $DO… https://t.co/skDcmG2798",0.5,0.5,2018-02-03 16:45:08,positive
22,"$WMT held its own more or less throughout the day on Fri, picked up some April $120c.  Got a $1M+ sweep later in th… https://t.co/RpjLxjs4QE",0.233333333333,0.391666666667,2018-02-03 16:36:46,positive
