,text,polarity,subjectivity,date,sentiment
0,2 of 5 $DWDP $DIS $GE $GS $HD $IBM dark green arrows strong buy signals … https://t.co/0qPDpcGfU2,0.0277777777778,0.477777777778,2018-02-03 19:39:58,positive
1,@GoldmanSachs #hedgefunds $GS  #biotech $NWBO NOW! https://t.co/XkRVrrycZS,0.0,0.0,2018-02-03 19:35:45,neutral
2,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/T8rRzODVru

$NFLX $TSLA $AAPL $AXP $GS $FB $AMZN $GOOGL $NVDA",0.133333333333,0.7,2018-02-03 19:30:11,positive
3,"$JPM $bac $gs bots, exact algo used manipulate stock r being used demoralize unregulated #crypto. Watch video 4 pro… https://t.co/qTDsfvuAlj",0.25,0.25,2018-02-03 19:25:59,positive
4,$EBAY wants to stay relevant &amp; it is hard competing w/ $AMZN &amp; $WMT. Perhaps it dropped its lifelong relationship w… https://t.co/ni5RBtPVK8,0.0520833333333,0.535416666667,2018-02-03 19:22:49,positive
5,Goldman Sachs Group Inc $GS Holdings Reduced by Yacktman Asset Management LP https://t.co/6qCOOvPQqR,0.0,0.0,2018-02-03 19:14:50,neutral
6,"Apple holiday quarter iPhone unit sales, revenues and average selling price

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE… https://t.co/pqq6S3Pvx0",-0.15,0.4,2018-02-03 19:10:55,negative
7,"Visualizing the Crypto rise in the past 5 years

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM… https://t.co/q9bamtF7L7",-0.25,0.25,2018-02-03 19:07:30,negative
8,"The Biggest Crypto Heists 😱

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM $GOOG $PCLN $EXPE… https://t.co/LAXA5cZQkS",0.0,0.0,2018-02-03 19:04:05,neutral
9,"RT @DanielJDrucker: Looking at the multiple errors in this Table I would suggest $GS stick to Prop Trading, arbitrage, IPOs and currency sw…",0.0,0.0,2018-02-03 19:00:40,neutral
10,RT @GoldmanSachs: PODCAST: VC is more than just Silicon Valley and Sand Hill Road. $GS' Heath Terry looks at where the venture dollars are…,0.5,0.5,2018-02-03 18:55:33,positive
11,RT @GoldmanSachs: WATCH: From the $GS Private Internet Company Conference: What makes for a successful pitch? Five founders and #entreprene…,0.375,0.6625,2018-02-03 18:53:48,positive
12,"RT @firestone_brian: #Wellsfargo Gets Sanctioned and Curbed By the Fed But Will They Clean Their Swamp That Is Their Pharma Analyst, David…",0.366666666667,0.7,2018-02-03 18:51:27,positive
13,Goldman Sachs Group Inc $GS Shares Sold by US Bancorp DE https://t.co/CHxiMIIImn,0.0,0.0,2018-02-03 18:51:08,neutral
14,"If you are not making money in this market &amp; want consistency, try our team https://t.co/lcBfNsfBE7   $FB $NFLX $AMZN $GOOGL $TSLA $AAPL $GS",0.0,0.0,2018-02-03 18:45:06,neutral
15,RT @GoldmanSachs: WATCH: From the $GS Private Internet Company Conference: What makes for a successful pitch? Five founders and #entreprene…,0.375,0.6625,2018-02-03 18:44:20,positive
