,text,polarity,subjectivity,date,sentiment
0,Northstar Investment Advisors LLC Has $6.74 Million Stake in Verizon Communications Inc. $VZ https://t.co/d4RxzCUxRq,0.0,0.0,2018-02-03 19:24:19,neutral
1,"Waldron LP Acquires 3,124 Shares of Verizon Communications Inc. $VZ https://t.co/l2WURBQEyA",0.0,0.0,2018-02-03 19:24:02,neutral
2,"#SMH @VERIZON WTF! 3rd day without phone service for my business. Cost me over $1k maybe $2k. Are you joking, is th… https://t.co/hwyTamhYQU",-0.3125,0.5,2018-02-03 18:57:50,negative
3,"Kelly Lawrence W &amp; Associates Increased Verizon Communications $VZ Stake by $509,600 https://t.co/jb6qWGsJMQ",0.0,0.0,2018-02-03 18:51:38,neutral
4,"Verizon Communications Com $VZ Stock Declined While Vision Capital Management Lowered by $983,430 Its Holding ...",0.0,0.0,2018-02-03 18:27:44,neutral
5,Verizon Communications Inc. $VZ Position Raised by Nichols &amp; Pratt Advisers LLP MA https://t.co/No1x8GXDuT,0.0,0.0,2018-02-03 18:25:27,neutral
6,"Regal Investment Advisors LLC Sells 1,260 Shares of Verizon Communications Inc. $VZ https://t.co/TbZLegpreH",0.0,0.0,2018-02-03 18:25:12,neutral
7,"Johnson Financial Group Has Decreased Verizon Communications $VZ Holding By $498,232 https://t.co/HgnV6IMqNC",-0.2,0.35,2018-02-03 18:24:55,negative
8,Commented on $AAPL $ALLY $COF $DFS $DIA $EXC $NEE $QQQ $S $SPY $SYF $T $TMUS $VZ https://t.co/HOtxRutwXV,0.0,0.0,2018-02-03 18:20:24,neutral
9,"$omvs the headline here is not ""q is coming,"" it's ""leading the way in ai and robotic perimeter security solutions""… https://t.co/srJHQTqFq2",-0.1,0.2,2018-02-03 18:09:25,negative
10,"Interested in a #job in #SanAntonio, TX? This could be a great fit: https://t.co/RaJhHtqdLF $VZ #WorkHard #Success #Sales #Hiring",0.4375,0.4125,2018-02-03 18:09:22,positive
11,Verizon Communications Inc. (VZ) Analysis $VZ https://t.co/A0Q1tufG4N https://t.co/3z2eupn1iL,0.0,0.0,2018-02-03 17:46:15,neutral
12,Verizon Communications $VZ Market Value Declined While Oakwood Capital Management Lowered Holding ...,0.0,0.0,2018-02-03 17:34:29,neutral
13,"Hilltop Holdings Lifted Verizon Communications $VZ Stake by $324,870 https://t.co/g00oX1kooc",0.0,0.0,2018-02-03 17:22:21,neutral
14,$ARCC $BTI $CLDT $CTL $DIN $ED $GEO $GOV $IRM $MAIN $MO $RMR $SO $SUI $T $VGR $VZ $WPC $KIM https://t.co/28bRTUxeTG,0.166666666667,0.333333333333,2018-02-03 17:21:48,positive
15,"Verizon Communications $VZ Shareholder Capital Wealth Planning Has Lowered Its Holding by $424,732 as Stock...",0.0,0.0,2018-02-03 16:54:02,neutral
16,"As Verizon Communications $VZ Stock Declined, Credit Capital Investments Has Raised Holding by $735,000 ...",0.0,0.0,2018-02-03 16:47:19,neutral
17,How come all the Sprint whore analysts get prioritized in the conf call Q&amp;A?  Any chance that the $JPM trading desk… https://t.co/VY48tiDBQq,0.0,0.0,2018-02-03 16:25:20,neutral
18,Sigma Planning Has Raised Its Verizon Communications $VZ Position https://t.co/IVI4QETl2T,0.0,0.0,2018-02-03 16:23:08,neutral
19,Sprint analysts that want to get on the call have to talk more lovingly about the garbage post-paid rev &amp; ARPU #s;… https://t.co/GBQ7m3xfcv,0.55,0.725,2018-02-03 16:16:42,positive
20,This #job might be a great fit for you: Verizon Sales and Service - https://t.co/4AvTtgtLo4 $VZ #WorkHard #Success… https://t.co/y0OqubeEvv,0.6,0.575,2018-02-03 16:09:16,positive
21,Sfmg Lowered Holding in Verizon Communications $VZ by $1.14 Million as Market Valuation Declined ...,0.0,0.0,2018-02-03 15:38:22,neutral
22,"Love how T-Mobile has executed over the last few years, but I have lost respect for that company for not publicly c… https://t.co/SSM94CUTZT",0.075,0.208333333333,2018-02-03 15:32:49,positive
23,I love the part of the Sprint call when @marceloclaure said he's OK w/ managing $S w/ at higher churn levels bc his… https://t.co/qLzVhv3GPS,0.416666666667,0.533333333333,2018-02-03 15:26:01,positive
24,"RT @WaltBTIG: Q4 Post-paid phone net adds 
$TMUS 891k 
$VZ 431k 
$T 286k 
$CMCSA 187k 
$S 184k",0.0,0.0,2018-02-03 15:21:16,neutral
25,"Make no mistake; the 3GPP prioritizes FDD over TDD; $S is lying about their 5G time frame; $T, $VZ &amp; $TMUS should t… https://t.co/o7K3eCyOvw",0.0,0.0,2018-02-03 15:12:15,neutral
26,Big Call Buyers https://t.co/dJ2oMHMJQv $JPM $BAC $APO $AMGN $KO $AVGO $ROKU $AMT $AMED $MTG $TEVA $GRMN $VLO $LJPC $WMT $TDC $JD $VZ,0.0,0.1,2018-02-03 14:41:44,neutral
27,"If you're looking for work in #Birmingham, AL, check out this #job: https://t.co/Cxmo5vO0vj $VZ #WorkHard #Success #Sales #Hiring",0.3,0.0,2018-02-03 14:09:05,positive
28,First American Bank Holding in Verizon Communications $VZ Cut by $2.04 Million https://t.co/em1nJb2rRV,0.125,0.166666666667,2018-02-03 13:31:17,positive
29,Verizon Communications $VZ Shares Declined While Clark Estates Raised by $4.63 Million Its Holding ...,0.0,0.0,2018-02-03 13:26:54,neutral
30,$APPS 1.98 C.C. Weds PM expecting solid results. OEM &amp; Operator business growing at 60% yr over yr. 20% sequentiall… https://t.co/TKTn3j454o,0.0,0.1,2018-02-03 13:17:10,neutral
31,$ARCC $BTI $CLDT $CTL $DIN $ED $GEO $GOV $IRM $MAIN $MO $RMR $SO $SUI $T $VGR $VZ $WPC $KIM https://t.co/YUAgBOyFuF,0.166666666667,0.333333333333,2018-02-03 13:00:04,positive
32,$ARCC $BTI $CLDT $CTL $DIN $ED $GEO $GOV $IRM $MAIN $MO $RMR $SO $SUI $T $VGR $VZ $WPC $KIM https://t.co/nwSaIzwsFE,0.166666666667,0.333333333333,2018-02-03 13:00:03,positive
33,Verizon Communications Inc. (VZ) Analysis $VZ https://t.co/thvZMsryXQ https://t.co/pTHWPZ0eKn,0.0,0.0,2018-02-03 12:23:10,neutral
34,Edge Wealth Management Has Lowered Its Verizon Communications $VZ Position https://t.co/9nwqQc64I6,0.0,0.0,2018-02-03 12:12:51,neutral
35,Business #secrets from https://t.co/Yycairc0fy help $mck $t $vlo $unh $vz $abc $fnma $cost $hpq $kr $lly $lvs $wfc #FridayBlogs #WallStreet,0.0,0.0,2018-02-03 12:10:05,neutral
36,We're #hiring! Read about our latest #job opening here: Verizon Sales Representative - https://t.co/sxTm6I7Jbi $VZ… https://t.co/H6vC4AbKgo,0.5,0.9,2018-02-03 12:08:54,positive
37,"Private Bank &amp; Trust Co Has Boosted Stake in Verizon Communications $VZ by $363,139 as Stock Price Declined ...",0.0,0.375,2018-02-03 12:08:37,neutral
38,Business #secrets from https://t.co/vT9HmoiNbp help $mck $t $vlo $unh $vz $abc $fnma $cost $hpq $kr $lly $lvs $wfc #FridayBlogs #WallStreet,0.0,0.0,2018-02-03 12:05:06,neutral
39,"Dynamic Advisors Solutions Has Trimmed By $313,747 Its Verizon Communications $VZ Holding ...",0.0,0.166666666667,2018-02-03 11:36:30,neutral
