,text,polarity,subjectivity,date,sentiment
0,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 19:41:33,neutral
1,"RT @theflynews: Box Office Battle: 'Jumanji', 'Maze Runner' to fight for top spot again $VIA $FOXA $LGF.B $VIAB $CMCSA $CMCSK $LGF.A $TWX $…",0.5,0.5,2018-02-03 19:40:37,positive
2,"RT @stocktrader300: earnings this week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN…",0.0,0.0,2018-02-03 19:40:18,neutral
3,2 of 5 $DWDP $DIS $GE $GS $HD $IBM dark green arrows strong buy signals … https://t.co/0qPDpcGfU2,0.0277777777778,0.477777777778,2018-02-03 19:39:58,positive
4,"earnings this week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY… https://t.co/5K1l2WlziB",0.0,0.0,2018-02-03 19:29:56,neutral
5,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 19:29:25,neutral
6,"RT @OMillionaires: Some implied moves for earnings next week:

$CMG 7.4%
$DIS 4.5%
$GILD 5.4%
$SNAP 14.2%
$TSLA 7%
$IRBT 13%
$NTES 7.9%
$NV…",0.0,0.0,2018-02-03 19:23:24,neutral
7,Disney Marvel #Blackpanther $dis Heartwarming! https://t.co/Cxsizt8EkK,0.0,0.0,2018-02-03 19:16:28,neutral
8,"RT @OMillionaires: Some implied moves for earnings next week:

$CMG 7.4%
$DIS 4.5%
$GILD 5.4%
$SNAP 14.2%
$TSLA 7%
$IRBT 13%
$NTES 7.9%
$NV…",0.0,0.0,2018-02-03 19:13:24,neutral
9,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 19:12:53,neutral
10,"Apple holiday quarter iPhone unit sales, revenues and average selling price

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE… https://t.co/pqq6S3Pvx0",-0.15,0.4,2018-02-03 19:10:55,negative
11,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 19:07:47,neutral
12,"Visualizing the Crypto rise in the past 5 years

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM… https://t.co/q9bamtF7L7",-0.25,0.25,2018-02-03 19:07:30,negative
13,"The Biggest Crypto Heists 😱

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM $GOOG $PCLN $EXPE… https://t.co/LAXA5cZQkS",0.0,0.0,2018-02-03 19:04:05,neutral
14,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 19:01:09,neutral
15,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 18:59:11,neutral
16,"RT @myhedghog: Tech $QQQ great buy as early as Mon/Tues next week in 161-162 area

$zillions sitting in cash staring at 5% growth in Q1.…",0.3,0.35,2018-02-03 18:51:04,positive
17,RT @PlanetZiggurat: 🚀Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  🚀https://t.co/SEWT8fznze   $AMZN $EBAY $MELI $ETSY $QVCA…,0.0,0.0,2018-02-03 18:46:55,neutral
18,Walt Disney Co $DIS Stake Lessened by Dai Ichi Life Insurance Company Ltd https://t.co/6vP3DsoalP,0.0,0.0,2018-02-03 18:45:19,neutral
19,RT @Startedwmouse: Is This The Opening Date for TRON Lightcycle Power Run?; Walt Disney World's 'Incredible Summer' #Disney $DIS https://t.…,0.9,0.9,2018-02-03 18:42:35,positive
20,"RT @lolaperez0211: The world’s most valuable brands 2️⃣0️⃣1️⃣8️⃣ by country

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $X…",0.5,0.5,2018-02-03 18:42:20,positive
21,Is This The Opening Date for TRON Lightcycle Power Run?; Walt Disney World's 'Incredible Summer' #Disney $DIS https://t.co/tP5wDTtzvA,0.9,0.9,2018-02-03 18:41:08,positive
22,Destination Wealth Management Boosts Holdings in Walt Disney Co $DIS https://t.co/kJg1lt36GA,0.0,0.0,2018-02-03 18:40:56,neutral
23,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 18:40:26,neutral
24,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 18:39:24,neutral
25,"The world’s most valuable brands 2️⃣0️⃣1️⃣8️⃣ by country

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL… https://t.co/RLBLUW5xSG",0.5,0.5,2018-02-03 18:35:08,positive
26,"RT @OMillionaires: Some implied moves for earnings next week:

$CMG 7.4%
$DIS 4.5%
$GILD 5.4%
$SNAP 14.2%
$TSLA 7%
$IRBT 13%
$NTES 7.9%
$NV…",0.0,0.0,2018-02-03 18:30:02,neutral
27,"RT @WinfieldSmart: Some implied moves for earnings next week:

$CMG 7.4%
$DIS 4.5%
$GILD 5.4%
$SNAP 14.2%
$TSLA 7%
$IRBT 13%
$NTES 7.9%
$NV…",0.0,0.0,2018-02-03 18:29:42,neutral
28,Walt Disney Co $DIS Expected to Announce Earnings of $1.62 Per Share https://t.co/na3XPCLy9m #stocks,-0.1,0.4,2018-02-03 18:29:34,negative
29,RT @AMP_Traders: Earnings for next week. $NVDA $TSLA $TWTR $SWKS $SNAP $DIS $GILD $CMG $TEVA $TTWO $REGN $NTES $FEYE $CVS $EXPE $SKX $IRBT…,0.0,0.0,2018-02-03 18:28:54,neutral
30,"RT @myhedghog: Tech $QQQ great buy as early as Mon/Tues next week in 161-162 area

$zillions sitting in cash staring at 5% growth in Q1.…",0.3,0.35,2018-02-03 18:26:12,positive
31,RT @PlanetZiggurat: 🚀Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  🚀https://t.co/SEWT8fznze   $AMZN $EBAY $MELI $ETSY $QVCA…,0.0,0.0,2018-02-03 18:20:09,neutral
32,"RT @eWhispers: #earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEVA $TTWO $BP $COHR $SYY $REGN $…",0.0,0.0,2018-02-03 18:13:32,neutral
33,"RT @AliAlhouli: اعلانات الاسبوع القادم حفله 
#earnings for the week

$NVDA $TSLA $TWTR $SWKS $SNAP $DIS $ATVI $GILD $GM $CMG $BMY $AGN $TEV…",0.0,0.0,2018-02-03 18:13:08,neutral
